Date,Home,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Draftkings Score
 4-11-2015,1,2,1.0,30,24,0,0,0,445,186,98,29,44,84,0.31,5.95,1,4,9,0,664,4,101,5,6,7,8
 4-12-2015,1,2,1.625,28,28,0,0,0,490,154,74,14,58,156,0.248,4.08,1,10,9,0,693,0,75,1,4,11,7
 4-13-2015,0,2,0.0,17,7,0,0,0,129,62,34,9,20,28,0.343,7.12,0,3,3,0,208,4,37,1,3,2,17
 4-14-2015,0,2,1.0,24,21,0,0,0,375,135,55,16,46,77,0.274,3.96,2,4,13,0,558,1,66,1,5,15,5
 4-15-2015,0,2,0.0,4,2,0,0,0,46,18,13,2,8,11,0.295,7.63,0,0,1,0,73,0,13,2,1,0,22
 4-17-2015,0,2,0.6,20,11,0,0,0,254,90,41,9,26,42,0.275,4.36,2,1,1,0,357,6,48,0,3,9,34
 4-18-2015,0,2,2.5,33,33,3,2,0,696,185,64,17,51,216,0.217,2.48,0,9,2,0,911,0,68,1,3,21,0
 4-19-2015,0,2,1.0,18,18,0,0,0,325,115,47,13,27,61,0.275,3.9,1,8,0,0,451,0,49,1,5,15,0
 4-20-2015,1,2,0.6666666666666666,21,21,1,0,0,347,126,52,15,38,77,0.276,4.05,0,4,5,0,502,0,57,1,2,9,12
 4-21-2015,1,2,0.8333333333333334,53,9,0,0,3,258,71,35,8,31,82,0.226,3.66,1,2,3,0,357,9,44,4,5,8,13
 4-22-2015,1,2,2.0,31,31,3,2,0,624,166,63,17,59,169,0.217,2.73,0,13,2,0,831,0,71,1,4,19,2
 4-23-2015,1,2,0.4666666666666667,30,26,0,0,1,471,164,73,18,48,136,0.268,4.18,2,3,2,0,672,3,78,4,6,12,7
 4-24-2015,1,2,1.5,17,15,0,0,0,259,99,47,10,36,72,0.285,4.9,2,3,3,0,392,1,48,1,5,7,12
 4-25-2015,1,2,1.8888888888888888,33,33,2,1,0,614,211,106,26,42,142,0.266,4.66,2,5,11,0,861,0,114,2,11,14,9
 4-26-2015,1,2,1.0,24,21,0,0,0,375,135,55,16,46,77,0.274,3.96,2,4,13,0,558,1,66,1,5,15,20
 4-28-2015,0,2,2.0,31,31,3,2,0,624,166,63,17,59,169,0.217,2.73,0,13,2,0,831,0,71,1,4,19,0
 4-29-2015,0,2,1.0,16,16,1,1,0,290,88,36,5,25,64,0.238,3.35,1,7,8,0,406,0,46,1,2,15,27
 4-30-2015,0,3,0.4666666666666667,30,26,0,0,1,471,164,73,18,48,136,0.268,4.18,2,3,2,0,672,3,78,4,6,12,21
 5- 1-2015,0,3,1.0909090909090908,31,31,2,1,0,533,169,78,16,64,141,0.253,3.95,3,5,13,1,746,0,82,2,0,26,5
 5- 2-2015,0,2,0.8888888888888888,24,22,0,0,0,371,134,61,13,37,64,0.282,4.44,1,4,7,0,525,0,62,2,3,19,19
 5- 3-2015,0,2,1.75,15,15,0,0,0,229,75,35,7,38,60,0.26,4.13,2,5,1,0,333,0,37,3,2,8,0
 5- 4-2015,1,2,2.0,31,31,2,2,0,605,180,79,23,58,191,0.24,3.53,0,10,9,0,826,0,80,4,4,18,3
 5- 5-2015,1,2,0.75,13,13,0,0,0,201,67,29,8,29,56,0.253,3.9,1,5,0,0,297,0,34,0,3,4,0
 5- 6-2015,1,2,0.625,22,20,0,0,0,346,106,53,15,44,97,0.245,4.14,1,1,9,1,490,0,57,1,4,11,16
 5- 7-2015,1,2,2.7142857142857144,32,32,0,0,0,611,207,88,19,53,171,0.263,3.89,2,5,9,0,859,0,89,5,4,12,14
 5- 8-2015,1,2,0.6,20,11,0,0,0,254,90,41,9,26,42,0.275,4.36,2,1,1,0,357,6,48,0,3,9,7
 5- 9-2015,1,2,2.5,33,33,3,2,0,696,185,64,17,51,216,0.217,2.48,0,9,2,0,911,0,68,1,3,21,24
 5-10-2015,1,2,1.0,18,18,0,0,0,325,115,47,13,27,61,0.275,3.9,1,8,0,0,451,0,49,1,5,15,5
 5-12-2015,1,2,0.5384615384615384,27,27,0,0,0,427,172,100,33,45,80,0.302,6.32,2,4,7,0,629,0,102,5,2,13,2
 5-13-2015,1,2,0.4,10,10,0,0,0,147,54,28,2,19,30,0.29,5.14,1,2,3,0,212,0,32,3,1,10,4
 5-15-2015,0,2,1.375,31,31,0,0,0,574,192,71,28,41,153,0.262,3.34,0,3,5,0,792,0,78,5,8,15,3
 5-16-2015,0,2,1.2,32,32,0,0,0,552,182,84,20,68,168,0.257,4.11,1,6,11,0,791,0,89,1,4,16,22
 5-17-2015,0,2,0
 5-18-2015,0,2,0,7,1,0,0,0,48,17,13,3,7,13,0.266,7.31,0,1,1,0,72,1,13,0,0,0,0
 5-19-2015,0,2,1.1666666666666667,41,11,0,0,0,277,74,33,9,44,61,0.224,3.22,2,8,3,0,380,4,35,2,1,15,3
 5-20-2015,0,2,2.6,30,28,1,1,0,451,179,93,22,44,129,0.297,5.57,0,7,11,0,664,0,103,0,6,15,25
 5-21-2015,0,3,1.0,33,33,2,0,0,643,195,93,25,61,126,0.244,3.91,1,9,11,2,884,0,97,3,11,18,14
 5-22-2015,0,2,0.6,28,28,0,0,0,516,196,94,25,38,149,0.287,4.92,0,12,10,1,737,0,103,2,5,21,18
 5-23-2015,0,2,1.25,16,9,0,0,0,218,67,33,12,27,52,0.239,4.09,0,2,1,0,310,3,38,1,1,2,5
 5-24-2015,0,2,1.0,32,32,1,0,0,581,201,96,17,64,147,0.265,4.46,0,10,4,1,831,0,98,3,2,13,7
 5-25-2015,1,2,0.8333333333333334,33,33,1,0,0,588,172,71,9,84,212,0.237,3.26,3,14,8,0,823,0,78,3,3,17,7
 5-26-2015,1,2,0.5555555555555556,34,18,0,0,0,377,142,81,17,32,69,0.287,5.8,3,7,9,0,547,5,82,8,3,9,0
 5-27-2015,1,2,0.375,31,31,0,0,0,554,200,89,19,66,165,0.279,4.34,2,3,6,0,804,0,111,8,6,17,10
 5-28-2015,1,2,0.0,14,5,0,0,0,121,53,33,10,17,24,0.323,7.36,2,1,3,0,186,0,35,1,1,6,7
 5-29-2015,1,2,1.0,25,25,1,1,0,471,152,87,29,49,138,0.252,4.99,1,5,1,3,660,0,89,5,2,9,3
 5-30-2015,1,2,0.5,18,16,0,0,0,251,103,64,13,27,50,0.308,6.88,4,1,6,0,373,1,67,2,4,10,18
 5-31-2015,1,2,2.25,21,21,3,1,0,438,133,41,13,29,138,0.241,2.53,2,3,3,0,592,0,50,4,5,13,5
 6- 1-2015,1,2,1.6,43,13,0,0,0,329,112,48,9,31,88,0.271,3.94,4,8,4,0,457,5,50,2,7,8,20
 6- 2-2015,1,2,0.9230769230769231,34,34,1,1,0,636,175,76,19,66,252,0.22,3.23,0,13,3,0,868,0,85,2,2,10,0
 6- 3-2015,1,2,1.4,27,26,0,0,0,441,132,60,19,56,145,0.239,3.67,1,15,5,0,621,0,62,3,4,8,18
 6- 5-2015,0,2,4.666666666666667,27,27,0,0,0,463,175,72,10,49,121,0.285,4.2,0,8,3,0,673,0,72,3,3,14,2
 6- 6-2015,0,2,1.0,43,17,0,0,1,394,114,48,10,39,104,0.236,3.29,1,7,7,0,534,5,51,2,2,14,14
 6- 7-2015,0,2,0.6,29,29,1,0,0,502,188,88,28,50,137,0.285,4.73,3,5,6,1,726,0,92,5,6,20,14
 6- 9-2015,0,2,1.4,27,26,0,0,0,441,132,60,19,56,145,0.239,3.67,1,15,5,0,621,0,62,3,4,8,10
 6-10-2015,0,2,1.8333333333333333,34,27,0,0,0,490,145,68,16,40,126,0.236,3.75,0,3,9,0,666,5,73,1,1,13,5
 6-11-2015,0,2,1.6,43,13,0,0,0,329,112,48,9,31,88,0.271,3.94,4,8,4,0,457,5,50,2,7,8,24
 6-12-2015,1,2,0.4666666666666667,30,26,0,0,1,471,164,73,18,48,136,0.268,4.18,2,3,2,0,672,3,78,4,6,12,24
 6-13-2015,1,2,0.6666666666666666,21,21,1,0,0,347,126,52,15,38,77,0.276,4.05,0,4,5,0,502,0,57,1,2,9,3
 6-14-2015,1,2,2.0,31,31,3,2,0,624,166,63,17,59,169,0.217,2.73,0,13,2,0,831,0,71,1,4,19,0
 6-15-2015,1,2,0.4166666666666667,23,23,0,0,0,383,121,50,9,49,119,0.255,3.52,3,2,8,0,545,0,56,7,6,13,11
 6-16-2015,1,3,0.75,27,27,0,0,0,438,151,75,22,43,121,0.264,4.62,3,5,6,0,636,0,79,8,6,9,7
 6-17-2015,0,3,1.0,27,27,0,0,0,458,158,73,18,40,111,0.272,4.3,2,3,7,0,640,0,75,3,9,15,5
 6-18-2015,0,3,1.0,9,5,0,0,0,93,32,20,10,20,17,0.271,5.81,1,1,2,0,142,1,28,1,1,4,17
 6-19-2015,0,3,2.0,31,31,3,2,0,624,166,63,17,59,169,0.217,2.73,0,13,2,0,831,0,71,1,4,19,11
 6-20-2015,0,3,1.0,16,16,1,1,0,290,88,36,5,25,64,0.238,3.35,1,7,8,0,406,0,46,1,2,15,9
 6-21-2015,0,3,1.0,18,18,0,0,0,329,84,29,7,35,101,0.213,2.38,0,2,3,2,440,0,35,3,4,13,6
 6-22-2015,1,3,1.0,8,8,0,0,0,115,44,19,4,17,27,0.293,4.46,0,2,1,0,171,0,21,1,2,5,4
 6-23-2015,1,3,2.7142857142857144,32,32,0,0,0,611,207,88,19,53,171,0.263,3.89,2,5,9,0,859,0,89,5,4,12,5
