Layers, learning_rate, training_epochs, training_performance, test_performance, MSE_of_guessing_the_mean_always
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.03736271502243148,0.03664150647819042,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.0361817961351739,0.04633780010044575,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.03716720857967933,0.03899156302213669,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.03817900208135446,0.029830224812030792,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.037330859133766756,0.03835058677941561,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.038430173674391374,0.04386422596871853,0.03555387959152568
"[31, 87, 41, 55, 95, 87, 50, 31, 1]",0.001,50,0.036023660149011344,0.05049366503953934,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.03566870828055673,0.041268423199653625,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.03400075466682514,0.04424048587679863,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.03593365765280194,0.04274288937449455,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.03658907125807471,0.03961949609220028,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.03659755912505918,0.030804520472884178,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.034480715377463236,0.047778939828276634,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.0347992784033219,0.03999973461031914,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.034284985003372036,0.04553581774234772,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.036798180701831974,0.029990682378411293,0.03555387959152568
"[31, 27, 33, 25, 38, 23, 81, 36, 1]",0.001,50,0.035680904570553035,0.03510836698114872,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.03535658845471011,0.030231239274144173,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.03315309631741709,0.04494313709437847,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.033077044102052845,0.03693571034818888,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.030548044066462252,0.034178558737039566,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.028547101757592626,0.0382611658424139,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.03164863193200694,0.036823442205786705,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.028718741403685674,0.05819350481033325,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.03926754442767964,0.056218162178993225,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.03143986304187112,0.03448767215013504,0.03555387959152568
"[31, 33, 29, 24, 29, 83, 62, 47, 1]",0.001,80,0.029208284337073565,0.0394753273576498,0.03555387959152568
